id_institusi;nama_institusi;logo_institusi;alamat_institusi;ket_institusi
1;AKADEMI PEREKEM MEDIS DAN INFORMATIKA KESEHATAN (APIKES) BANDUNG;;;
2;AKPER AL-MA'ARIF BATURAJA;;;
3;AKPER BHAKTI KENCANA BANDUNG;;;
4;AKPER BIDARA MUKTI GARUT;;;
5;AKPER BUNTET PESANTREN CIREBON;;;
6;AKPER DUSTIRA CIMAHI;;;
7;AKPER PEMERINTAH KABUPATEN CIANJUR;;;
8;AKPER KEBONJATI;;;
9;AKPER LUWUK;;;
10;AKPER PEMBINA PALEMBANG;;;
11;AKPER PEMDA KOLAKA;;;
12;AKPER PEMKAB LAHAT;;;
13;AKPER RS. EFARINA PURWAKARTA;;;
14;AKPER SAIFUDDIN ZUHRI INDRAMAYU;;;
15;AKPER SAWERIGADING PEMDA LUWU RAYA PALOPO;;;
16;AKPER SINTANG;;;
17;AKPER TOLITOLI;;;
18;AKPER YPDR JAKARTA;;;
19;FAKULTAS KEDOKTERAN MARANATHA;;;
20;FAKULTAS KEDOKTERAN UKRIDA;;;
21;FAKULTAS KEDOKTERAN UNIVERSITAS ISLAM BANDUNG;;;
22;FAKULTAS KEDOKTERAN UNIVERSITAS JENDERAL AHMAD YANI CIMAHI;;;
23;FAKULTAS KEDOKTERAN UNPAD;;;
24;FAKULTAS KEPERAWATAN UNPAD;;;
25;FAKULTAS PSIKOLOGI UNJANI;;;
26;POLTEKKES KEMENKES BANDUNG KEPERAWATAN;;;
27;POLTEKKES TNI AU CIUMBULEUIT BANDUNG;;;
28;POLTEKKES BANTEN;;;
29;POLTEKKES KEMENKES MAKASSAR;;;
30;PROGRAM PASCA SARJANA UNIVERSITAS ISLAM BANDUNG;;;
31;STIKES AISYIYAH BANDUNG;;;
32;STIKES BANI SALEH;;;
33;STIKES BHAKTI PERTIWI LUWU RAYA PALOPO;;;
34;STIKES BINA PUTERA BANJAR;;;
35;STIKES BORNEO TARAKAN;;;
36;STIKES BUDILUHUR CIMAHI;;;
37;STIKES CIREBON;;;
38;STIKES DEHASEN BENGKULU;;;
39;STIKES DHARMA HUSADA BANDUNG;;;
40;STIKES FALETEHAN;;;
41;STIKES FORT DE KOCK;;;
42;STIKES IMMANUEL BANDUNG;;;
43;STIKES JENDERAL AHMAD YANI;;;
44;STIKES KARSA HUSADA GARUT;;;
45;STIKES KOTA SUKABUMI;;;
46;STIKES KUNINGAN;;;
47;STIKES MAHARDIKA CIREBON;;;
48;STIKES MEDIKA CIKARANG / IMDS;;;
49;STIKES MITRA KENCANA TASIKMALAYA;;;
50;STIKES MUHAMADIYAH CIAMIS;;;
51;STIKES NAN TONGGA LUBUK ALUNG;;;
52;STIKES PPNI JAWA BARAT;;;
53;STIKES RAJAWALI;;;
54;STIKES SANTO BORROMEUS;;;
55;STIKES SEBELAS APRIL SUMEDANG;;;
56;STIKES SYEDZA SAINTIKA PADANG;;;
57;STIKES TANA TORAJA;;;
58;STIKES YARSI BUKIT TINGGI;;;
59;STIKES YARSI PONTIANAK;;;
60;STIKES YPIB MAJALENGKA;;;
61;UNIVERSITAS ADVENT INDONESIA BANDUNG;;;
62;UNIVERSITAS BALE BANDUNG;;;
63;UNIVERSITAS BSI BANDUNG;;;
64;UNIVERSITAS GALUH CIAMIS;;;
65;UNIVERSITAS MUHAMMADIYAH SUKABUMI;;;
66;UNIVERSITAS NEGERI GORONTALO;;;
67;UNIVERSITAS PENDIDIKAN INDONESIA KAMPUS SUMEDANG;;;
68;UNIVERSITAS PENDIDIKAN INDONESIA KAMPUS SETIABUDI;;;
69;UNIVERSITAS RESPATI INDONESIA;;;
70;UNIVERSITAS SAMRATULANGI;;;
71;UNIVERSITAS SULTAN AGENG TIRTAYASA (UNTIRTA);;;
72;POLITEKNIK TEDC BANDUNG;;;
73;UNIVERSITAS PELITA HARAPAN;;;
74;POLTEKKES YAPKESBI SUKABUMI;;;
75;AKPER YPIB MAJALENGKA;;;
76;UNIVERSITAS MUHAMMADIYAH TASIKMALAYA;;;
77;POLTEKKES KEMENKES BANDUNG FARMASI;;;
78;POLITEKNIK NEGERI SUBANG;;;
79;MAGISTER PSIKOLOGI PROFESI UNISBA;;;
80;FAKULTAS FARMASI UNIVERSITAS JENDERAL AHMAD YANI;;;
81;SEKOLAH TINGGI ILMU KESEHATAN INDONESIA MAJU;;;
82;UNIVERSITAS BHAKTI KENCANA (UBK);;;
83;POLTEKKES KEMENKES JAYAPURA;;;
84;POLITEKNIK NEGERI INDRAMAYU;;;
85;UNIVERSITAS KRISTEN SATYA WACANA SALATIGA (PSIKOLOGI);;;
86;FAKULTAS PSIKOLOGI MARANATHA;;;
